парень	140.30	7.13
служить	140.30	7.13
зрение	140.20	7.13
попросить	140.20	7.13
генерал	140.00	7.13
состоять	139.90	7.13
огонь	139.80	7.13
отдать	139.80	7.13
боевой	139.60	7.13
понятие	139.40	7.12
строительство	139.40	7.12
ухо	139.30	7.12
Европа	139.20	7.12
выступать	138.80	7.12
грудь	138.80	7.12
нос	138.80	7.12
ставить	138.70	7.12
завтра	138.50	7.11
возникать	138.40	7.11
когда	138.40	7.11
страх	138.40	7.11
услуга	138.30	7.11
рабочий	138.00	7.11
что-нибудь	137.60	7.10
глубокий	137.30	7.10
содержание	137.30	7.10
радость	137.20	7.10
безопасность	137.10	7.10
надеяться	137.10	7.10
продукт	136.70	7.09
видимо	136.40	7.09
комплекс	136.30	7.09
бизнес	136.20	7.09
подняться	136.20	7.09
вспоминать	135.90	7.09
Иванович	135.90	7.09
мало	135.80	7.09
сад	135.80	7.09
долгий	135.50	7.08
одновременно	135.40	7.08
называться	135.30	7.08
сотрудник	135.10	7.08
лето	135.00	7.08
тихо	135.00	7.08
зато	134.90	7.08
прямой	134.80	7.07
курс	134.50	7.07
помогать	134.50	7.07
предложение	134.50	7.07
финансовый	134.50	7.07
открытый	134.40	7.07
почему-то	134.40	7.07
значить	134.00	7.07
возникнуть	133.60	7.06
рот	133.60	7.06
где-то	133.50	7.06
технология	133.50	7.06
знакомый	133.40	7.06
недавно	133.30	7.06
реформа	133.10	7.06
отсутствие	132.40	7.05
нынешний	132.30	7.05
собака	132.20	7.05
камень	131.90	7.04
будущее	131.40	7.04
звать	131.30	7.04
рассказ	131.30	7.04
контроль	131.20	7.04
позвонить	131.00	7.03
река	131.00	7.03
хватать	130.90	7.03
продукция	130.80	7.03
сумма	130.60	7.03
техника	130.50	7.03
исторический	130.40	7.03
вновь	130.30	7.03
народный	130.30	7.03
прямо	130.30	7.03
ибо	130.00	7.02
выпить	129.90	7.02
здание	129.90	7.02
сфера	129.50	7.02
знаменитый	129.40	7.02
иначе	129.20	7.01
потерять	129.20	7.01
необходимость	129.10	7.01
больший	128.90	7.01
фонд	128.60	7.01
иметься	128.40	7.00
вперед	128.10	7.00
подготовка	127.90	7.00
вчера	127.60	7.00
лист	127.60	7.00
пустой	127.50	6.99
очередной	127.40	6.99
республика	127.40	6.99
хозяйство	127.20	6.99
Виктор	127.10	6.99
полностью	127.00	6.99
получаться	127.00	6.99
учиться	126.90	6.99
плохо	126.50	6.98
воля	126.40	6.98
судебный	126.10	6.98
бюджет	126.00	6.98
возвращаться	125.80	6.97
расти	125.80	6.97
снег	125.20	6.97
деревня	125.10	6.97
обнаружить	125.00	6.97
мужик	124.70	6.96
постоянно	124.60	6.96
зеленый	124.40	6.96
элемент	124.40	6.96
обстоятельство	124.20	6.96
почувствовать	124.20	6.96
немец	124.10	6.96
многое	124.00	6.95
победа	124.00	6.95
источник	123.70	6.95
немецкий	123.60	6.95
золотой	123.50	6.95
передать	123.50	6.95
технический	123.40	6.95
нормальный	123.20	6.94
едва	123.10	6.94
желать	123.10	6.94
ожидать	123.00	6.94
некий	122.80	6.94
звезда	122.70	6.94
городской	122.40	6.94
выбор	122.00	6.93
Америка	121.90	6.93
соответствующий	121.80	6.93
масса	121.70	6.93
составить	121.60	6.93
итог	121.50	6.92
сестра	121.30	6.92
что	121.20	6.92
Игорь	120.90	6.92
шесть	120.90	6.92
ясно	120.80	6.92
практика	120.70	6.92
сто	120.70	6.92
нести	120.60	6.91
определить	120.60	6.91
проведение	120.60	6.91
карман	120.50	6.91
любимый	120.40	6.91
родной	120.30	6.91
западный	120.20	6.91
обязательно	120.20	6.91
слава	120.20	6.91
кухня	120.10	6.91
определение	120.10	6.91
пользоваться	120.10	6.91
быстрый	119.80	6.90
функция	119.60	6.90
войско	119.40	6.90
комиссия	119.30	6.90
применение	119.30	6.90
капитан	119.00	6.89
работник	119.00	6.89
улыбнуться	119.00	6.89
холодный	119.00	6.89
обеспечение	118.80	6.89
офицер	118.70	6.89
появляться	118.40	6.89
Олег	118.30	6.89
конкретный	118.10	6.88
фамилия	118.10	6.88
предел	118.00	6.88
прямо	118.00	6.88
смеяться	117.90	6.88
выборы	117.70	6.88
иностранный	117.40	6.88
уехать	117.40	6.88
ученый	117.40	6.88
вроде	117.30	6.87
левый	117.20	6.87
счастливый	117.20	6.87
бутылка	117.10	6.87
бой	117.00	6.87
подходить	116.90	6.87
судить	116.80	6.87
Ольга	116.70	6.87
родиться	116.70	6.87
теория	116.50	6.86
зона	116.40	6.86
отдел	116.20	6.86
зуб	116.00	6.86
Алексей	115.90	6.86
разработка	115.90	6.86
отказаться	115.80	6.86
святой	115.80	6.86
считаться	115.70	6.85
точный	115.70	6.85
занять	115.60	6.85
личность	115.60	6.85
гора	115.50	6.85
добавить	115.50	6.85
товар	115.50	6.85
звонить	115.40	6.85
медленно	115.40	6.85
носить	115.30	6.85
метр	115.20	6.85
начинаться	115.10	6.85
зависеть	115.00	6.85
праздник	115.00	6.85
влияние	114.90	6.84
построить	114.90	6.84
читатель	114.70	6.84
частый	114.60	6.84
удовольствие	114.50	6.84
актер	114.40	6.84
слеза	114.20	6.84
создавать	114.10	6.83
значительный	113.90	6.83
ответственность	113.80	6.83
учитель	113.80	6.83
акт	113.60	6.83
встретить	113.50	6.83
принадлежать	113.50	6.83
произнести	113.50	6.83
боль	113.30	6.82
множество	113.30	6.82
связанный	113.20	6.82
особенность	113.00	6.82
участвовать	113.00	6.82
показатель	112.90	6.82
занимать	112.70	6.82
корабль	112.50	6.81
уверенный	112.50	6.81
звук	112.40	6.81
тонкий	112.40	6.81
центральный	112.40	6.81
впечатление	112.30	6.81
спокойно	112.10	6.81
частность	112.00	6.81
детство	111.90	6.81
вывод	111.80	6.80
профессор	111.80	6.80
будущий	111.70	6.80
Петр	111.50	6.80
доля	111.40	6.80
норма	111.30	6.80
улыбаться	111.30	6.80
прошлое	111.20	6.80
возле	111.00	6.79
командир	110.90	6.79
коридор	110.80	6.79
поддержка	110.60	6.79
рамка	110.60	6.79
вскоре	110.50	6.79
лучше	110.50	6.79
сквозь	110.50	6.79
враг	110.30	6.79
ладно	110.30	6.79
этап	110.30	6.79
черт	110.20	6.78
дед	110.10	6.78
направить	109.90	6.78
собрание	109.90	6.78
Германия	109.80	6.78
прием	109.80	6.78
физический	109.80	6.78
болезнь	109.60	6.78
клетка	109.60	6.78
кожа	109.50	6.77
заявление	109.30	6.77
ради	109.20	6.77
попытка	109.10	6.77
сравнение	109.10	6.77
только	109.00	6.77
расчет	108.90	6.77
когда-то	108.80	6.77
депутат	108.70	6.76
то	108.70	6.76
частный	108.70	6.76
обратиться	108.60	6.76
мелкий	108.50	6.76
невозможно	108.50	6.76
английский	108.40	6.76
постоянный	108.40	6.76
комитет	108.10	6.76
знак	108.00	6.75
выбрать	107.90	6.75
примерно	107.80	6.75
бить	107.50	6.75
дядя	107.50	6.75
Анна	107.40	6.75
учет	107.40	6.75
хлеб	107.40	6.75
тихий	107.30	6.75
хватить	107.30	6.75
обещать	107.20	6.74
ли	106.90	6.74
встречаться	106.80	6.74
чай	106.80	6.74
режим	106.70	6.74
целое	106.60	6.74
вирус	106.50	6.73
гораздо	106.50	6.73
млн	106.50	6.73
тридцать	106.50	6.73
выражение	106.40	6.73
напоминать	106.20	6.73
уж	106.20	6.73
неожиданно	106.10	6.73
здоровье	106.00	6.73
зима	106.00	6.73
упасть	106.00	6.73
перестать	105.80	6.73
десяток	105.70	6.72
глубина	105.60	6.72
сеть	105.50	6.72
студент	105.40	6.72
обладать	105.20	6.72
секунда	105.20	6.72
скорость	105.20	6.72
поиск	105.00	6.71
европейский	104.90	6.71
суть	104.90	6.71
налог	104.70	6.71
ошибка	104.40	6.71
ближайший	104.30	6.70
отечественный	104.30	6.70
теплый	104.00	6.70
плакать	103.90	6.70
духовный	103.70	6.70
доход	103.60	6.69
прежний	103.60	6.69
режиссер	103.50	6.69
поверхность	103.40	6.69
ощущение	103.30	6.69
